遥感：remote sensing
丝绸之路：Silk Road
周代：Zhou Dynasty
基本内容：basic content
主流文化：mainstream culture
五行：five elements
文化变迁：cultural changes
晚明：the late Ming Dynasty
班固：BAN Gu
第三条道路：the third way
历史哲学：historical philosophy
民族政策：national policy
生产方式：Production mode
林木：forest tree
内因：internal cause
现代科技：Modern science and technology
历史意识：historical consciousness
本土文化：local culture
晋商：shanxi merchants
国家战略：national strategy
两汉：Han Dynasty
人民群众：the masses
六朝：the Six Dynasties
乡村治理：rural governance
传统社会：Traditional society
分相：phase separation
保护与开发：protection and development
儒家思想：Confucian thought
社会史：social history
优惠政策：preferential policy
文化发展：cultural development
都市文化：Urban Culture
理论贡献：theoretical contribution
边境贸易：border trade
辛亥革命：the 1911 Revolution
章学诚：Zhang Xuecheng
媒介生态：media ecology
自然权利：natural rights
工商管理：business administration
水田：paddy field
财政体制：fiscal system
社会动员：Social mobilization
文化取向：Cultural orientation
辽代：Liao Dynasty
当代中国：modern China
政治心理：political psychology
中国革命：Chinese revolution
国际秩序：International order
杨万里：Yang Wanli
政治改革：Political Reform
治理措施：treatment measure
科学方法论：scientific methodology
太行山：Taihang mountain
人为因素：human factors
经验教训：experiences and lessons
保护与利用：protection and utilization
《说文解字》：Shuo Wen Jie Zi
历史考察：historical investigation
全球战略：Global Strategy
历史记忆：Historical Memory
中华文明：Chinese civilization
文化外交：cultural diplomacy
民族关系：national relationship
河西地区：Hexi region
社会资源：Social resources
技术引进：technology import
王韬：Wang Tao
文化研究：cultural study
数学机械化：mathematics mechanization
王充：Wang Chong
历史地理学：Historical Geography
腐蚀产物：corrosion product
洪灾：Flood disaster
楚辞：Chu Ci
改制：system reform
国情：national conditions
伊斯兰文化：Islamic Culture
庐山：Lushan Mountain
科举：imperial examinations
黄宗羲：Huang Zongxi
外来文化：Foreign culture
秦观：Qin Guan
社会救济：social relief
苏曼殊：Su Manshu
民权：civil rights
朱德：ZHU De
文化融合：cultural integration
邯郸市：Handan city
生产关系：production relations
盐业：salt industry
保护与发展：Protection and development
新石器时代：Neolithic Age
外因：external cause
历史地理：historical geography
纽约：New York
守恒律：conservation laws
政治秩序：Political Order
政治权威：political authority
岷江上游：upper reaches of Minjiang River
快速城市化：rapid urbanization
经济外交：Economic diplomacy
古代中国：ancient China
近代科学：modern science
信息资源规划：information resource planning
袁世凯：YUAN Shi-kai
钱谦益：Qian Qianyi
精神生态：spiritual ecology
政治民主：political democracy
荷兰：the Netherlands
长城：the Great Wall
吉林市：Jilin City
婚姻制度：marriage system
跨文化交流：intercultural communication
考辨：Textual research
清初：early Qing Dynasty
王夫之：WANG Fu-zhi
宗族：Patriarchal clan
《史记》：records of the historian
经济民主：economic democracy
新闻传播：news communication
法律思想：legal thought
发展过程：development process
古罗马：Ancient Rome
太平洋：Pacific Ocean
文化渊源：cultural origin
中庸：golden mean
传统聚落：Traditional settlement
政治动员：political mobilization
张之洞：Zhang Zhi-dong
春秋：the Spring and Autumn Period
社会理想：Social Ideal
新人文主义：New Humanism
中苏关系：Sino-Soviet relations
社会现实：Social reality
形成过程：formation process
《管子》：Guan Zi
社会效应：social effect
科学决策：scientific decision
社会生态：social ecology
古DNA：ancient DNA
积极影响：Positive influence
海洋文化：marine culture
文艺：literature and art
晏阳初：Yan Yangchu
经济发展战略：economic development strategy
胡适：Hu Shih
农业开发：agricultural development
加速器质谱：Accelerator mass spectrometry
社会危机：social crisis
城市人口：urban population
理论与方法：theory and method
设计文化：Design Culture
竹文化：Bamboo Culture
柳宗元：LIU Zong-yuan
抗战：Anti-Japanese war
社会学分析：sociological analysis
防空：air defense
文化市场：cultural market
希腊神话：Greek Mythology
经济现代化：economic modernization
左宗棠：Zuo Zongtang
文化民族主义：cultural nationalism
野猪：Wild boar
史料价值：historical value
龚自珍：Gong Zizhen
中国社会：Chinese Society
畲族：She nationality
DNA聚合酶：DNA polymerase
小学教育：primary education
民族认同：ethnic identity
延安时期：Yan an period
战略思维：strategic thinking
军事思想：military thought
现代转换：Modern transformation
政局：political situation
物探：geophysical exploration
城市功能：city function
教案：teaching plan
青少年保健服务：Adolescent Health Services
市场调节：Market regulation
宗教政策：religious policy
和谐思想：harmonious thought
音乐创作：music creation
选举制度：electoral system
刘基：Liu Ji
地方社会：Local society
环境演化：environmental evolution
设计思想：design thought
图腾崇拜：totem worship
丙酸钙：calcium propionate
风景区：scenic spot
绿色革命：green revolution
史料：historical data
留学生：Overseas students
性别比：sex ratio
考释：textual research
文化特征：cultural characteristic
文化空间：cultural space
王世贞：Wang Shizhen
体育舞蹈：sport dance
文化史：cultural history
中等教育：secondary education
西安事变：Xi an Incident
民族团结：National unity
公众舆论：public opinion
沈家本：Shen Jiaben
武则天：Wu Zetian
法国大革命：french revolution
主流意识形态：mainstream ideology
河道：river course
农业文明：agricultural civilization
物权：property rights
相对稳定性：Relative stability
诗经：book of songs
区域市场：regional market
野外实习：field practice
历史研究：historical research
控股公司：holding company
金朝：Jin Dynasty
历史变迁：historical changes
民主制度：democratic system
阮元：Ruan Yuan
民主选举：democratic election
历史叙事：historical narration
国家与社会：state and society
张岱：Zhang Dai
徐特立：XU Te-li
生态和谐：ecological harmony
艺术特征：artistic characteristic
环境外交：environmental diplomacy
审美风格：Aesthetic style
基本问题：basic problems
菲律宾：the Philippines
经济活动：economic activities
文化心理：cultural mentality
陈寅恪：Chen Yinque
近代教育：modern education
经济圈：economic circle
早期现代化：Early modernization
近现代：Modern Times
辽东半岛：Liaodong Peninsula
民主革命：democratic revolution
美国经济：American Economy
梁漱溟：Liang Shu-ming
陈亮：Chen Liang
阶级基础：class basis
农民负担：Farmers Burden
新文化：New Culture
顾颉刚：Gu Jiegang
蔡邕：Cai Yong
藏族：Tibetan nationality
连云港市：Lianyungang city
西北：northwest China
管理职能：Management function
转折点：turning point
范仲淹：Fan Zhongyan
郑观应：Zheng Guanying
运输管理：transportation management
新闻传媒：news media
党性：Party Spirit
朱彝尊：Zhu Yizun
徐霞客：Xu Xiake
胡应麟：Hu Yinglin
顾炎武：Gu Yanwu
学术创新：academic innovation
文化比较：cultural comparison
文化政策：Cultural policy
美国外交：American diplomacy
审美人类学：aesthetic anthropology
政治环境：political environment
籍贯：native place
赵翼：Zhao Yi
农田灌溉：farmland irrigation
唐宋：Tang and Song Dynasties
报刊：Newspapers and periodicals
经济地理：economic geography
保护规划：conservation planning
北魏：The Northern Wei Dynasty
经济基础：economic basis
社会基础：social basis
实践教育：Practice education
文化品格：cultural character
刘邦：LIU Bang
社会改革：social reform
审美趣味：aesthetic taste
史记：Historical Records
庙会：temple fair
起点：starting point
台湾文学：Taiwan literature
许慎：Xu Shen
军事战略：military strategy
民居：folk house
游牧文化：nomadic culture
生态思想：Ecological Thought
生丝：Raw silk
地域分布：regional distribution
汉朝：Han Dynasty
工具理性：Instrumental reason
开发与保护：Development and protection
文化大革命：Cultural Revolution
学术影响力：academic influence
继承与创新：Inheritance and Innovation
色彩词：color words
实施机制：implementation mechanism
农耕文化：farming culture
内心世界：inner world
社会变革：social transformation
五代：the Five Dynasties
红色经典：Red classics
张学良：Zhang Xueliang
玉文化：jade culture
考据：textual research
文学人类学：literary anthropology
文化互动：cultural interaction
赵孟頫：Zhao Mengfu
私学：private school
李达：Li Da
秦汉：Qin and Han Dynasty
界面应力：interface stress
环境变迁：environmental changes
使用性能：service performance
研究趋势：research trend
研究意义：research significance
第三世界：the Third World
学制：educational system
保定市：Baoding city
体育文化：physical education culture
长征：the long march
区域发展战略：regional development strategy
精神价值：spiritual value
区域整合：Regional integration
原始创新：original innovation
齐鲁文化：Qilu culture
商鞅：Shang Yang
政治资源：political resources
语气词：modal particle
现代启示：modern enlightenment
犹太文化：Jewish culture
君主立宪：constitutional monarchy
道路建设：road construction
历史演变：historical evolvement
X射线荧光分析：X-ray fluorescence analysis
科学思想：scientific thought
秦代：Qin dynasty
信仰危机：Belief crisis
航空母舰：aircraft carrier
思想性：ideological content
商品流通：commodity circulation
罗马帝国：Roman Empire
民族问题：national problem
西方文明：western civilization
口述历史：oral history
体育史：sports history
邵雍：Shao Yong
二里头文化：Erlitou culture
文化阐释：cultural interpretation
实业教育：industrial education
桐城派：Tongcheng School
历史比较：historical comparison
科举考试：imperial examination
兴衰：rise and fall
水井：water well
湘南：southern Hunan
湘西：West Hunan
青铜器：bronze ware
淀粉粒：Starch granule
盐城市：Yancheng City
历史分析：historical analysis
自由竞争：free competition
汕头市：Shantou city
新视角：new perspective
旅游体验：tourism experience
客观规律：objective law
决策机制：decision mechanism
城市治理：urban governance
林徽因：Lin Huiyin
颜之推：Yan Zhitui
和谐精神：harmonious spirit
婚俗：Marriage custom
墨家：Mohist School
成吉思汗：Genghis Khan
角色意识：role consciousness
大连港：Dalian Port
文化危机：Cultural Crisis
管仲：Guan Zhong
近代文学：modern literature
社会主义改造：socialist transformation
专名：proper name
红山文化：Hongshan culture
叶适：YE Shi
政治理论：political theory
陶澍：Tao shu
政治人格：political personality
南亚：South Asia
食物网：food web
经济关系：economic relation
吉林：Jilin Province
环境史：environmental history
越文化：Yue culture
人口压力：population pressure
春节：Spring Festival
新思维：New thinking
行为模式：behavior mode
研究内容：research contents
扬子鳄：Chinese alligator
区域特征：regional characteristics
景观资源：landscape resource
水族：Shui Nationality
近代上海：modern Shanghai
学术成就：academic achievement
学术贡献：academic contribution
测不准原理：uncertainty principle
方以智：Fang Yizhi
水利建设：water conservancy construction
文化策略：Cultural Strategy
传统政治文化：traditional political culture
政治信仰：political belief
张衡：Zhang Heng
理论探索：theoretical exploration
社会哲学：Social philosophy
刘备：Liu Bei
量子场论：Quantum field theory
新女性：New woman
秦朝：Qin dynasty
学术精神：academic spirit
近代史：modern history
李叔同：Li Shutong
董必武：Dong Biwu
近代日本：modern Japan
历史影响：historical influence
叙事理论：narrative theory
高适：GAO Shi
砖茶：Brick tea
土地使用：land use
科学技术：Science technology
新乡市：Xinxiang city
国家：The State
渐变：gradual change
仰韶文化：Yangshao culture
发展特征：development characteristics
古埃及：ancient Egypt
莫高窟：Mogao Grottoes
章太炎：ZHANG Tai-yan
医学史：medical history
职业女性：Professional women
中医药学：traditional Chinese medicine
交通枢纽：transportation hub
古代建筑：Ancient architecture
司马迁：Si Ma-qian
汉文化：Han culture
知识空间：knowledge space
公文：official documents
善恶：good and evil
中华民族精神：Chinese national spirit
中国学生：Chinese students
政治腐败：political corruption
政治性：Political nature
越南战争：Vietnam War
阎锡山：Yan Xishan
晚全新世：Late Holocene
公共舆论：public opinion
史学理论：historical theory
自然经济：natural economy
蒋介石：Jiang Jie-shi
张君劢：Zhang Junmai
社会伦理：social ethics
杨慎：Yang Shen
田汉：Tian Han
音乐美学：Musical aesthetics
斯坦福大学：Stanford University
魏晋：Wei and Jin Dynasties
唐太宗：Tang Taizong
刘师培：Liu Shipei
国际关系理论：international relations theory
人权外交：human rights diplomacy
史学思想：historical thought
唐五代：Tang and Five Dynasties
军事体育：military sports
自由度：Freedom degree
经济生活：economic life
风速：air velocity
环境伦理：environment ethics
空间布局：spatial arrangement
田野调查：Field investigation
3D建模：3D modeling
形式美：beauty in form
经济建设：Economic development
经济核算：economic accounting
家庭关系：family relations
政策扶持：policy support
良渚文化：LiangZhu culture
树轮：Tree ring
社会运动：Social movement
文献价值：literature value
西周：the Western Zhou Dynasty
社会作用：social function
外部空间：external space
卢作孚：Lu Zuofu
园林艺术：garden art
公民权：Civil rights
中更新世：middle Pleistocene
民间宗教：folk religion
社会记忆：social memory
陈垣：Chen Yuan
均势：Balance of power
王符：Wang Fu
曾巩：Zeng Gong
龙山文化：Longshan culture
启蒙运动：the Enlightenment
传统节日：traditional festivals
理想社会：ideal society
中俄关系：Sino-Russian relations
民族平等：national equality
私人资本主义：private capitalism
经济社会：economy and society
文化交流：culture communication
乐器：musical instrument
全球环境变化：global environmental change
常识：common sense
合作关系：cooperative relationship
决策过程：decision process
男女平等：Equality between men and women
空间序列：space sequence
文化地理：Cultural geography
大跃进：Great Leap Forward
末次冰期：last glaciation
郑振铎：Zheng Zhenduo
经济整合：economic integration
工具书：reference book
中国银行业：Chinese banking
徐光启：Xu Guangqi
空间统计分析：spatial statistical analysis
隋代：Sui dynasty
商务印书馆：the Commercial Press
图书馆史：library history
身份建构：Identity Construction
张说：Zhang Yue
国民革命：national revolution
政治权利：political rights
王建：Wang Jian
古代埃及：Ancient Egypt
文化认知：cultural cognition
秋瑾：QIU Jin
戊戌变法：the Reform Movement of 1898
人类行为：human behavior
乡村聚落：rural settlement
工艺特点：technology characteristics
日本政府：Japanese government
军事技术：military technology
古城：ancient city
生态人类学：ecological anthropology
治安：public security
教育经费：education funds
研究成果：Research results
流向：Flow direction
农业科技：agricultural technology
傅山：FU Shan
文化影响：cultural influence
导读：reading guidance
三国：The Three Kingdoms
庭院空间：courtyard space
港口城市：Port City
对外战略：foreign strategy
花文化：Flower Culture
项羽：Xiang Yu
原始社会：Primitive society
形成和发展：Formation and development
民族复兴：national rejuvenation
效率原则：efficiency principle
小农经济：small-scale peasant economy
刘歆：Liu Xin
动态发展：dynamic development
政治结构：political structure
晏殊：Yan Shu
叙事语言：narrative language
郑樵：ZHENG Qiao
口述史：oral history
道德观念：moral concept
政治生活：political life
集体安全：collective security
范晔：Fan Ye
王闿运：Wang Kaiyun
萧纲：Xiao Gang
财政危机：financial crisis
世界秩序：World Order
辽朝：Liao Dynasty
社会治理：social governance
身体政治：body politics
海权：Sea power
秦文化：Qin culture
氟橡胶：fluorine rubber
元素组成：elemental composition
川西：west Sichuan
传统工艺：traditional technology
人口流动：population mobility
滇东南：southeast Yunnan
西藏自治区：Tibet Autonomous Region
文化建设：cultural building
国防：national defense
对称破缺：Symmetry breaking
窑洞：cave dwelling
环境考古：environmental archaeology
技术史：History of technology
政治过程：Political process
吴汝纶：Wu Ru-lun
《老子》：Lao Zi
张居正：Zhang Juzheng
鸦片战争：Opium War
视觉符号：visual symbol
艺术特点：artistic characteristics
文化品位：cultural taste
音乐文化：Musical culture
政治参与：participation in politics
政治国家：Political country
购买力：purchasing power
河洛文化：Heluo Culture
意见领袖：opinion leader
中国建筑：Chinese architecture
科普：popular science
关系网络：relation network
假释制度：parole system
文化对比：cultural comparison
二十世纪：20th Century
话语策略：Discourse strategy
史实：historical facts
泥河湾盆地：Nihewan Basin
免费教育：Free education
邢台地震：Xingtai Earthquake
初等教育：primary education
民主思想：democratic thought
新教育：new education
阶级分析：class analysis
联邦政府：federal government
第一次世界大战：the First World War
历史教育：historical education
汉初：early Han Dynasty
国家身份：national identity
心理世界：Mental World
十月革命：October Revolution
对外援助：foreign aid
中法战争：Sino-French war
对外关系：foreign relations
文化体制：cultural system
悲剧人生：tragic life
傩文化：Nuo culture
文化政治：cultural politics
政治斗争：political struggle
元素分析：ultimate analysis
热激活：thermal activation
造型艺术：plastic art
赣南：South Jiangxi
灾区：disaster area
社会经济因素：socioeconomic factors
优势产业：superior industry
研究价值：research value
周期振荡：periodic oscillation
东方文化：eastern culture
和田玉：Hetian jade
性别角色：Gender roles
教育行政：educational administration
留学：study abroad
文化景观：culture landscape
交通建设：traffic construction
移民政策：immigration policy
社会身份：social identity
红军：the Red Army
新局面：new situation
社会规范：social norms
纳兰性德：Nalan Xingde
群众运动：mass movement
五四运动：May 4th Movement
巴文化：Ba culture
文化选择：cultural selection
审计制度：audit system
孙权：SUN Quan
古文字：ancient Chinese character
妇女解放：women's liberation
宗教精神：Religious spirit
南朝：the Southern Dynasty
社会行动：social action
民事审判：civil trial
竹简：Bamboo slips
政治控制：Political control
《礼记》：The Book of Rites
粮食价格：grain price
国家政权：state power
书法教育：calligraphy education
张九龄：Zhang Jiuling
宗教教育：religious education
性别政治：Gender politics
南京政府：Nanjing Government
外交策略：diplomatic strategy
孔颖达：Kong Yingda
自卑情结：inferiority complex
新民主主义社会：new democratic society
盛宣怀：Sheng Xuanhuai
严嵩：Yan Song
道德生活：moral life
美国外交政策：American foreign policy
新疆：Xinjiang Region
美学特征：Aesthetic characteristic
生态破坏：ecological destruction
渝东南：southeast Chongqing
贺兰山：Helan mountains
