神经网络：neural network
酸雨：acid rain
数据管理：data management
聚乙烯醇：polyvinyl alcohol
甲基橙：Methyl orange
电磁兼容：electromagnetic compatibility
清洁生产：clean production
新技术：new technology
复杂系统：complex system
工程设计：engineering design
火电厂：thermal power plant
数学模型：Mathematical models
传质：mass transfer
流动注射：flow injection
叶绿素荧光：Chlorophyll fluorescence
环境影响评价：environmental impact assessment
环境因子：environmental factors
大气污染：air pollution
接枝共聚：graft copolymerization
南海：South China Sea
改性沥青：modified asphalt
循环流化床：circulating fluidized bed
能源与动力工程：energy and power engineering
灰色理论：Grey Theory
模糊集：fuzzy set
故障树：fault tree
市场机制：market mechanism
光催化降解：photocatalytic degradation
有机酸：organic acid
分离纯化：Isolation and purification
参数识别：parameter identification
分子量：molecular weight
防治：prevention and cure
膜生物反应器：membrane bioreactor
科学发展：scientific development
工程应用：engineering application
动力学模型：dynamic model
有机质：organic matter
土地利用变化：land use change
发展模式：development model
冲击波：shock wave
辽宁省：Liaoning province
酚醛树脂：phenolic resin
红外光谱：Infrared Spectrum
信息不对称：asymmetric information
荧光光谱：fluorescence spectrum
离子色谱：ion chromatography
存活率：survival rate
相对湿度：relative humidity
使用寿命：service life
碳酸二甲酯：dimethyl carbonate
科学发展观：scientific outlook on development
计算流体力学：computational fluid dynamics
生态恢复：ecological restoration
黄河：Yellow River
高速铁路：high-speed railway
红壤：Red soil
溶解氧：dissolved oxygen
循环伏安：cyclic voltammetry
三峡工程：Three Gorges Project
甲基丙烯酸甲酯：methyl methacrylate
柴达木盆地：Qaidam Basin
催化活性：catalytic activity
农村经济：rural economy
环境教育：environmental education
分子筛：Molecular sieve
动态监测：dynamic monitoring
稀土元素：rare earth element
实时控制：real-time control
绿色设计：green design
硅橡胶：silicone rubber
回转窑：rotary kiln
青藏高原：Qinghai-Tibet Plateau
博弈分析：game analysis
紫外分光光度法：UV spectrophotometry
电磁辐射：electromagnetic radiation
中国特色社会主义：socialism with Chinese characteristics
水土流失：soil erosion
溶剂萃取：solvent extraction
风险评价：risk evaluation
自然资源：natural resources
化学修饰：chemical modification
体外：in vitro
高等院校：colleges and universities
地表水：surface water
驱动力：Driving force
基因工程：gene engineering
染整：dyeing and finishing
植物生长调节剂：plant growth regulator
金属离子：Metal ions
贵州省：Guizhou province
四氯化碳：carbon tetrachloride
环境质量：environmental quality
空间变异：Spatial variability
荧光猝灭：fluorescence quenching
深度处理：advanced treatment
固体超强酸：solid superacid
孔隙结构：pore structure
生态安全：ecological security
光催化氧化：photocatalytic oxidation
太湖：Taihu Lake
小流域：small watershed
理论模型：theoretical model
安全评价：Safety assessment
化学气相沉积：chemical vapor deposition
分子识别：molecular recognition
信息提取：information extraction
聚合物驱：polymer flooding
环境污染：Environment pollution
幼苗生长：Seedling growth
烟气：flue gas
罗丹明B：rhodamine B
网络优化：network optimization
控制措施：control measure
草酸：oxalic acid
固相萃取：solid-phase extraction
流动注射分析：flow injection analysis
化学清洗：chemical cleaning
亚甲基蓝：methylene blue
性能试验：performance test
城市发展：urban development
污染控制：pollution control
油酸：oleic acid
生态补偿：ecological compensation
国际合作：international cooperation
系统模型：system model
乙二醇：ethylene glycol
比表面积：Specific surface area
评价研究：Evaluation studies
发芽率：germination rate
青海省：Qinghai Province
课程设计：course design
城市道路：urban road
离子色谱法：ion chromatography
新形势：new situation
厌氧消化：anaerobic digestion
有机污染物：organic pollutants
应急管理：emergency management
电子束：Electron beam
生活污水：domestic sewage
非饱和土：unsaturated soil
生物处理：Biological treatment
管理机制：management mechanism
高锰酸钾：potassium permanganate
土壤温度：soil temperature
粮食安全：food security
醋酸：Acetic acid
气体传感器：gas sensor
自然环境：natural environment
赤潮：red tide
球磨机：Ball mill
VisualBasic：Visual Basic
分析方法：analytical method
原子吸收光谱法：atomic absorption spectrometry
电网：Power grid
土壤质量：soil quality
微波加热：microwave heating
生产函数：production function
湍流模型：turbulence model
城市污水：municipal wastewater
垂直分布：vertical distribution
风险识别：risk identification
催化燃烧：catalytic combustion
胶州湾：Jiaozhou Bay
细胞色素P450：cytochrome P450
纹理分析：texture analysis
土壤污染：Soil pollution
焦化废水：coking wastewater
固定化酶：immobilized enzyme
集对分析：set pair analysis
传热传质：heat and mass transfer
双酚A：bisphenol A
溶胶凝胶法：sol-gel method
电子技术：electron technology
催化光度法：catalytic spectrophotometry
生态效应：ecological effect
小城镇：small towns
活性染料：reactive dye
乙酸乙酯：ethyl acetate
腐殖酸：humic acid
煤气化：coal gasification
16SrDNA：16S rDNA
磁选：Magnetic separation
城市森林：urban forest
草鱼：grass carp
氢化物发生：hydride generation
系统开发：system development
化学镀镍：electroless nickel plating
电流密度：current density
农药残留：pesticide residues
光合细菌：photosynthetic bacteria
腐植酸：humic acid
承载力：carrying capacity
钢渣：Steel slag
化学改性：chemical modification
水质评价：water quality assessment
珠江三角洲：Pearl River Delta
土壤酶：soil enzyme
低渗透：low permeability
水质模型：water quality model
管理制度：management system
3S技术：3S technology
地质环境：geological environment
鄱阳湖：Poyang Lake
植酸：phytic acid
冷却水：cooling water
数值模型：numerical model
化学修饰电极：Chemically modified electrode
铜合金：copper alloy
东海：East China Sea
葡萄糖氧化酶：glucose oxidase
有机碳：organic carbon
含水率：moisture content
优势种：dominant species
赤泥：red mud
东北地区：Northeast China
工业应用：industrial application
黑土：Black soil
长江：Yangtze River
渗透系数：Permeability coefficient
贝叶斯网络：Bayesian networks
经济价值：economic value
紫色土：purple soil
曝气生物滤池：Biological aerated filter
系统优化：system optimization
同时测定：simultaneous determination
结构表征：structure characterization
季铵盐：quaternary ammonium salt
分布函数：distribution function
分光光度法：spectrophotometric method
原子荧光光谱法：atomic fluorescence spectrometry
人类活动：Human activity
趋势分析：trend analysis
西部大开发：western development
仿真平台：simulation platform
抗氧化性：oxidation resistance
有机溶剂：organic solvent
生态城市：ecological city
土地利用规划：land use planning
应力松弛：stress relaxation
森林生态系统：forest ecosystem
公路建设：highway construction
飞灰：fly ash
总氮：total nitrogen
土壤酶活性：soil enzyme activity
过程建模：process modeling
生长曲线：growth curve
广州市：Guangzhou City
模糊模式识别：fuzzy pattern recognition
辣根过氧化物酶：horseradish peroxidase
抗氧化酶：antioxidant enzymes
单纯形法：Simplex Method
景观生态：landscape ecology
甲酸：formic acid
聚合酶链式反应：polymerase chain reaction
优化控制：optimal control
非点源污染：Non-point source pollution
重庆市：Chongqing City
羟自由基：hydroxyl radical
熵权：entropy weight
生物脱氮：biological nitrogen removal
新工艺：new technology
颗粒污泥：granular sludge
吸收系数：absorption coefficient
电力：electric power
羟基自由基：hydroxyl radical
气流组织：air distribution
模糊决策：fuzzy decision
生态伦理：ecological ethics
厌氧发酵：anaerobic fermentation
渤海：Bohai Sea
油罐：oil tank
华北：North China
生态保护：ecological protection
生态承载力：ecological carrying capacity
生态经济：ecological economy
定量评价：quantitative evaluation
硅胶：silica gel
焦炉：Coke oven
土地复垦：Land reclamation
表面活性：surface activity
回收率：recovery rate
工程热物理：engineering thermophysics
安全文化：safety culture
活性炭纤维：activated carbon fiber
毛细管气相色谱：capillary gas chromatography
模拟实验：simulation experiment
交通管理：traffic management
分子量分布：molecular weight distribution
印染废水：dyeing wastewater
卫星遥感：satellite remote sensing
粒度分布：particle size distribution
稳定同位素：stable isotope
安全工程：safety engineering
工艺改进：Process improvement
旅游规划：tourism planning
东北亚：Northeast Asia
支持向量回归：support vector regression
法律体系：Legal system
冻土：frozen soil
室内空气：indoor air
超临界水：supercritical water
还原糖：reducing sugar
超声提取：Ultrasonic extraction
胜利油田：Shengli Oilfield
社会公正：Social Justice
开采沉陷：Mining subsidence
定点突变：site-directed mutagenesis
对苯二甲酸：terephthalic acid
综合治理：comprehensive treatment
交通噪声：traffic noise
悬浮聚合：Suspension polymerization
环境容量：environmental capacity
渗透胁迫：osmotic stress
突变理论：catastrophe theory
旋风分离器：Cyclone separator
经济学分析：economic analysis
景观规划：landscape planning
试验研究：experiment research
综合能力：Comprehensive ability
分子机制：molecular mechanism
冶金技术：metallurgical technology
硝酸：nitric acid
阴离子表面活性剂：anionic surfactant
运筹学：operational research
参数优化：parameters optimization
协同作用：synergistic effect
灰色模型：gray model
环境效应：environmental effect
仿真软件：Simulation software
中国哲学：Chinese philosophy
土壤环境：soil environment
海水淡化：seawater desalination
总磷：total phosphorus
活度系数：activity coefficient
城市环境：urban environment
大孔吸附树脂：macroporous adsorption resin
和谐世界：Harmonious World
有机废水：organic wastewater
诱变育种：mutation breeding
故障树分析：fault tree analysis
置信区间：confidence interval
中空纤维膜：hollow fiber membrane
长江三角洲：Yangtze River Delta
表面结构：Surface structure
决策分析：decision analysis
投影寻踪：projection pursuit
生态位宽度：niche breadth
自然灾害：natural disasters
山东：Shandong province
规划设计：planning design
生态危机：ecological crisis
氯乙烯：vinyl chloride
环境科学：environmental science
硬脂酸：stearic acid
高光谱遥感：hyperspectral remote sensing
系统发育分析：phylogenetic analysis
酸性磷酸酶：acid phosphatase
手性分离：chiral separation
高效：High efficiency
有机氯农药：Organochlorine pesticides
发电：power generation
数据通讯：data communication
气相色谱-质谱：gas chromatography-mass spectrometry
安全性评价：safety evaluation
中空纤维：Hollow Fiber
长白山：Changbai Mountain
生态分布：ecological distribution
种类组成：species composition
模糊熵：fuzzy entropy
汽车产业：automobile industry
美拉德反应：Maillard reaction
logit模型：logit model
米糠：rice bran
超临界二氧化碳：supercritical carbon dioxide
水煤浆：coal water slurry
气力输送：pneumatic conveying
公共管理：public administration
烟叶：Tobacco leaf
三峡水库：Three Gorges Reservoir
生长模型：growth model
离子通道：ion channel
心理问题：Psychological problems
全球变暖：global warming
催化裂解：catalytic cracking
土壤种子库：Soil seed bank
经济性分析：economic analysis
温室气体：greenhouse gas
矿产资源：Mineral resource
计算机控制系统：computer control system
生活史：life history
发展中国家：developing country
分离效率：separation efficiency
功率流：power flow
事故分析：accident analysis
CFB锅炉：CFB boiler
西部开发：western development
气液两相流：gas-liquid two-phase flow
手性拆分：Chiral separation
专业建设：specialty construction
人与自然：man and nature
模拟酸雨：simulated acid rain
腐蚀机理：corrosion mechanism
生物接触氧化：biological contact oxidation
金属氧化物：metal oxide
稳定性评价：stability evaluation
极限分析：limit analysis
长期施肥：Long-term fertilization
数学模拟：mathematical simulation
时空分布：temporal and spatial distribution
速率常数：rate constant
稻田：paddy field
非牛顿流体：non-Newtonian fluid
次氯酸钠：sodium hypochlorite
黄原胶：xanthan gum
施工过程：construction process
生态位重叠：niche overlap
好氧颗粒污泥：aerobic granular sludge
海岸带：coastal zone
彗星试验：Comet assay
流量：flow rate
安全生产：safe production
烧碱：caustic soda
玻碳电极：Glassy carbon electrode
热效率：heat efficiency
农业发展：agricultural development
生态赤字：ecological deficit
膨胀石墨：expanded graphite
化学分析：chemical analysis
非恒定流：unsteady flow
细胞壁：Cell wall
结晶紫：crystal violet
己二酸：adipic acid
经济损失：economic loss
环境分析：Environmental analysis
农业生产：Agricultural Production
智能节点：intelligent node
细胞融合：cell fusion
电除尘器：electrostatic precipitator
钾肥：potassium fertilizer
根系活力：Root activity
复杂适应系统：complex adaptive system
重金属离子：heavy metal ion
空间变异性：spatial variability
动力学光度法：kinetic spectrophotometry
气候变暖：climate warming
单晶：single crystal
滇池：Dianchi Lake
噪声系数：noise figure
超声波提取：ultrasonic extraction
社会科学：Social science
环境成本：environmental cost
原子吸收：atomic absorption
光纤传感器：Fiber optic sensor
固定相：Stationary phase
干旱区：arid area
兰州市：Lanzhou city
体制创新：system innovation
热降解：thermal degradation
二次流：secondary flow
大气光学：atmospheric optics
牙鲆：Paralichthys olivaceus
羧甲基壳聚糖：carboxymethyl chitosan
南京市：Nanjing City
在线测量：on-line measurement
铜离子：copper ion
生态因子：ecological factor
置换通风：displacement ventilation
压力损失：pressure loss
居住区：residential area
社会经济：social economy
抑制性消减杂交：suppression subtractive hybridization
阳离子表面活性剂：cationic surfactant
CO2：carbon dioxide
水解酸化：hydrolytic acidification
水量平衡：water balance
地表径流：surface runoff
矿质元素：mineral element
马尔可夫模型：Markov model
多目标规划：multi-objective programming
应用化学：applied chemistry
再生水：reclaimed water
数学规划：mathematical programming
二氧化锰：manganese dioxide
生态文化：ecological culture
环境问题：environmental problems
山梨酸：Sorbic acid
显色反应：color reaction
可持续发展：continuable development
吸附机理：adsorption mechanism
漏电流：leakage current
细胞死亡：Cell death
生态系统健康：ecosystem health
能值分析：emergy analysis
构造演化：structural evolution
土壤微生物：Soil microbe
工业废水：industrial wastewater
化学工业：chemical industry
经济政策：economic policy
钢铁：iron and steel
复合污染：combined pollution
NO：nitric oxide
大亚湾：Daya Bay
电子密度：Electron density
荧光检测：Fluorescence detection
生产实践：production practice
人参：Panax ginseng
黄河三角洲：The Yellow River Delta
电极材料：electrode material
化学动力学：chemical kinetics
生态风险：Ecological risk
驻波：standing wave
沉积环境：depositional environment
烧结机：sintering machine
速度分布：Velocity distribution
大气环境：atmospheric environment
不饱和聚酯：unsaturated polyester
活性污泥法：activated sludge process
安全分析：safety analysis
长江口：Yangtze Estuary
氧化亚氮：Nitrous oxide
单细胞凝胶电泳：single cell gel electrophoresis
微生物多样性：microbial diversity
海水：sea water
室内环境：Indoor Environment
空间插值：spatial interpolation
介孔分子筛：Mesoporous molecular sieve
政府失灵：government failure
生态平衡：ecological balance
移动终端：mobile terminal
鲫鱼：Carassius auratus
连续小波变换：Continuous Wavelet Transform
磷肥：phosphate fertilizer
加油站：gas station
三角模糊数：triangular fuzzy number
国家利益：National interests
投入产出分析：input-output analysis
去除率：removal efficiency
硫酸亚铁：ferrous sulfate
响应面分析：response surface analysis
黑液：black liquor
环境地质：environmental geology
光学特性：optical properties
孔雀石绿：malachite green
偶氮染料：azo dye
服务功能：service function
环境法：environmental law
粒径分布：size distribution
碘化钾：potassium iodide
炭纤维：Carbon fiber
共振光散射：resonance light scattering
基础理论：basic theory
工程实践：engineering practice
动态测试：dynamic test
洪水预报：flood forecasting
建筑材料：building materials
燃煤锅炉：coal-fired boiler
水源热泵：water source heat pump
电子设备：electronic equipment
森林旅游：forest tourism
负压：Negative pressure
硫酸：sulphuric acid
经济管理：economic management
模型分析：model analysis
气相色谱：gas chromatograph
生态工程：ecological engineering
残留分析：residue analysis
防治措施：control measures
分布规律：distribution law
温室效应：greenhouse effect
山区：mountain area
松嫩平原：Songnen Plain
无侧限抗压强度：Unconfined compressive strength
能源消耗：energy consumption
天然色素：natural pigment
膜通量：Membrane flux
液化石油气：liquefied petroleum gas
模糊数学：fuzzy math
环境政策：environmental policy
江汉平原：Jianghan Plain
血清白蛋白：Serum albumin
农村社区：rural community
烟气脱硫：flue gas desulphurization
共振瑞利散射：Resonance Rayleigh Scattering
钢铁工业：iron and steel industry
硫含量：sulfur content
丛枝菌根真菌：arbuscular mycorrhizal fungi
能源结构：energy structure
森林植被：Forest Vegetation
氧化沟：oxidation ditch
水环境容量：water environmental capacity
模糊层次分析法：Fuzzy analytic hierarchy process
综合分析：comprehensive analysis
三峡库区：Three Gorges Reservoir
TiO2：titanium dioxide
快速测定：rapid determination
水力设计：hydraulic design
功率密度：Power density
驱动机制：driving mechanism
旅游开发：tourism exploitation
地下水污染：groundwater pollution
资源利用：resource utilization
流变特性：rheological property
经验公式：empirical formula
催化精馏：catalytic distillation
钻石模型：Diamond model
输出功率：Output Power
世界遗产：world heritage
无机盐：inorganic salt
产业竞争力：industrial competitiveness
干密度：dry density
黄鳝：Monopterus albus
模糊集合：fuzzy set
有机磷农药：Organophosphorus pesticides
硝酸铵：ammonium nitrate
长沙市：Changsha City
济南市：Jinan city
环保产业：environmental protection industry
GIS技术：GIS technology
有机农业：organic agriculture
辽河油田：Liaohe Oilfield
液膜：Liquid membrane
Mannich反应：Mannich reaction
麦草：wheat straw
共混改性：blending modification
生物除磷：biological phosphorus removal
毛细管柱：Capillary column
厌氧处理：anaerobic treatment
聚丙烯腈纤维：polyacrylonitrile fiber
无机膜：inorganic membrane
梯度洗脱：gradient elution
人体健康：Human health
顺酐：maleic anhydride
效益评价：Benefit evaluation
土地利用结构：Land use structure
沙尘暴：dust storm
膜反应器：membrane reactor
小波去噪：wavelet denoising
数据复制：data replication
固相微萃取：Solid-phase microextraction
量纲分析：dimensional analysis
燃煤电厂：coal-fired power plant
机械强度：Mechanical strength
火力发电厂：thermal power plant
污水回用：wastewater reuse
膜技术：membrane technology
微波等离子体：microwave plasma
生长机制：growth mechanism
平面应变：plane strain
水电工程：hydropower project
黄河流域：Yellow River Basin
粘土矿物：Clay minerals
环境管理：environment management
微波辅助提取：Microwave-assisted extraction
碳酸钠：Sodium carbonate
气含率：gas holdup
熔融还原：smelting reduction
工程建设：project construction
生态系统服务：ecosystem services
青海湖：Qinghai lake
PCR扩增：PCR amplification
地表温度：land surface temperature
法律意识：legal consciousness
情景分析：scenario analysis
煤炭工业：coal industry
水质分析：water quality analysis
生长抑制：growth inhibition
生态建筑：ecological architecture
系统软件：system software
综合回收：Comprehensive recovery
荧光定量PCR：Real-time PCR
钝顶螺旋藻：Spirulina platensis
预测方法：prediction method
污染土壤：contaminated soil
催化还原：catalytic reduction
土地覆盖：land cover
安全防护：safety protection
热辐射：thermal radiation
BP模型：BP model
地理环境：geographical environment
低温等离子体：low temperature plasma
Keggin结构：Keggin structure
二硫化碳：carbon disulfide
煤粉燃烧：pulverized coal combustion
最小二乘支持向量机：least squares support vector machine
食品加工：Food processing
水资源承载力：Water resources carrying capacity
CCD相机：CCD camera
复合肥：compound fertilizer
呼吸系统：respiratory system
土地退化：land degradation
余热锅炉：waste heat boiler
副作用：Side effect
雨水利用：Rainwater utilization
微分几何：Differential geometry
竞争比：competitive ratio
球罐：spherical tank
对策研究：countermeasure study
矿井通风：mine ventilation
黄孢原毛平革菌：Phanerochaete chrysosporium
浅层地下水：shallow groundwater
氯化氢：hydrogen chloride
反应时间：reaction time
祁连山：Qilian Mountains
产业结构调整：industrial structure adjustment
氯化聚乙烯：chlorinated polyethylene
城市热岛：urban heat island
螺旋藻：Spirulina platensis
传质系数：mass transfer coefficient
多环芳烃：polycyclic aromatic hydrocarbons(PAHs)
噪声污染：noise pollution
金属元素：metal element
流程模拟：process simulation
硫酸氢钠：sodium bisulfate
室内空气污染：indoor air pollution
生态价值：ecological value
土壤类型：soil type
风险因素：risk factor
耦合分析：coupling analysis
表层沉积物：surface sediment
膜分离技术：membrane separation technology
推理机：reasoning machine
社区发展：Community development
颗粒物：Particulate matter
事故预防：Accident prevention
政策选择：Policy Choice
环境变化：Environmental change
计算智能：computational intelligence
土壤水：soil water
红粘土：red clay
反应条件：reaction condition
丙烯酸甲酯：methyl acrylate
加氢催化剂：hydrogenation catalyst
燃烧控制：combustion control
PLC控制系统：PLC Control System
基体改进剂：Matrix modifier
面源污染：non-point source pollution
尾气：tail gas
生活饮用水：drinking water
噪声源：noise source
反硝化除磷：Denitrifying phosphorus removal
创新意识：innovative consciousness
气体交换：gas exchange
含油量：oil content
反相乳液聚合：inverse emulsion polymerization
可持续性发展：sustainable development
多元统计分析：multivariate statistical analysis
塔里木盆地：the Tarim Basin
固定化细胞：immobilized cell
痕量分析：trace analysis
土壤质地：soil texture
可行性研究：feasibility research
理论体系：theory system
能量密度：energy density
黄海：Yellow Sea
转移概率：transition probability
神经网络模型：Neural Network model
Fourier级数：Fourier series
土壤改良：soil improvement
环境风险：environmental risk
H2O2：hydrogen peroxide
混合溶剂：mixed solvent
城市土壤：Urban soil
海洋经济：marine economy
危险性评估：Risk assessment
制约因素：restrictive factor
发达国家：Developed country
主成份分析：principal component analysis
降解机理：degradation mechanism
氧化动力学：Oxidation Kinetics
研究方向：research direction
随机数：random number
设计洪水：design flood
微波辐照：microwave irradiation
紫外辐射：ultraviolet radiation
废气：waste gas
转移矩阵：transfer matrix
氯乙酸：chloroacetic acid
中性红：Neutral Red
模糊规划：fuzzy programming
氢氧化铝：Aluminum hydroxide
污水处理厂：sewage treatment plant
矿业城市：mining city
催化动力学光度法：catalytic kinetic spectrophotometry
离心风机：centrifugal fan
矿井水：mine water
光化学反应：photochemical reaction
废纸：waste paper
标准偏差：standard deviation
中子活化分析：Neutron activation analysis
微生物群落：microbial community
膜电位：membrane potential
酶电极：enzyme electrode
西方马克思主义：Western Marxism
氧化铝：aluminum oxide
粉末涂料：powder coatings
理化性质：physicochemical property
建筑企业：construction enterprises
自来水：Tap water
自动监测：Automatic monitoring
华北平原：North China Plain
沸点：Boiling point
BP人工神经网络：BP artificial neural network
环境意识：environmental awareness
结构稳定性：structural stability
水质污染：water pollution
政策体系：policy system
中国西部：Western China
HepG2细胞：HepG2 cell
人工湿地：artificial wetland
超临界水氧化：Supercritical Water Oxidation
冲击韧度：impact toughness
隔声：sound insulation
巢湖：Chaohu Lake
密云水库：Miyun reservoir
决策树：decision trees
自由贸易：free trade
压缩空气：compressed air
二元结构：dual structure
化工：chemical industry
生活垃圾：municipal solid waste
排放因子：emission factor
群落多样性：community diversity
工控机：industrial control computer
钼酸铵：ammonium molybdate
营养成分：nutrient composition
啤酒酵母：beer yeast
电力企业：Electric power enterprise
生长率：growth rate
简化模型：simplified model
种间竞争：interspecific competition
燃料油：fuel oil
源解析：source apportionment
贵金属：noble metal
复混肥：compound fertilizer
有机污染：organic pollution
室内空气质量：indoor air quality
生态美学：ecological aesthetics
界面聚合：interfacial polymerization
化学氧化：chemical oxidation
酶活性：enzymatic activity
氧化铁：Ferric oxide
丝织物：silk fabric
强磁场：high magnetic field
全球气候变化：global climate change
质粒DNA：Plasmid DNA
质量检验：quality inspection
灌区：irrigation area
可持续农业：Sustainable Agriculture
生态工业园：eco-industrial park
线性回归模型：linear regression model
差分法：difference method
危害分析：hazard analysis
特征参数：characteristic parameters
安全体系：security system
红外传感器：infrared sensor
城市边缘区：urban fringe
青岛市：Qingdao City
性别决定：Sex determination
协调发展：coordinative development
流态：flow pattern
离子选择性电极：ion-selective electrode
沈阳市：Shenyang city
氧指数：oxygen index
农业可持续发展：agricultural sustainable development
人体：human body
渤海湾：Bohai bay
嵌入式计算机：embedded computer
动网格：dynamic mesh
余热：waste heat
纳米碳管：carbon nanotube
施工期：construction period
风蚀：wind erosion
抗氧化系统：antioxidant system
模拟试验：simulation experiment
杭州湾：Hangzhou Bay
极限平衡：limit equilibrium
岩石边坡：rock slope
概率分析：Probability analysis
项目评价：project evaluation
胡锦涛：HU Jintao
灰色关联分析：grey relation analysis
硝酸银：silver nitrate
洁净煤技术：clean coal technology
离子强度：ionic strength
水体污染：water pollution
持续利用：Sustainable utilization
经济绩效：economic performance
污泥减量：sludge reduction
同步硝化反硝化：simultaneous nitrification and denitrification
超临界流体：supercritical fluids
零排放：zero discharge
石墨电极：Graphite electrode
环境激素：environmental hormone
水电开发：hydropower development
南海北部：northern South China Sea
生理生化指标：physiological and biochemical index
三磷酸腺苷：adenosine triphosphate
公共治理：Public governance
肾小管上皮细胞：renal tubular epithelial cell
应急预案：emergency Plan
环境工程：environment engineering
实验教学体系：experimental teaching system
气体水合物：gas hydrate
安全教育：safety education
扩散模型：diffusion model
海洋工程：ocean engineering
衰减系数：attenuation coefficient
急性中毒：Acute poisoning
工会：trade unions
含沙量：sediment concentration
等效电路模型：equivalent circuit model
棉田：cotton field
气候特征：climatic characteristics
屈曲分析：buckling analysis
响应面分析法：Response surface methodology
支持向量机(SVM)：support vector machine(SVM)
对数正态分布：lognormal distribution
性能化设计：performance-based design
投入产出模型：input-output model
成都市：Chengdu City
模糊综合评价法：Fuzzy Comprehensive Evaluation
空间分布：space distribution
干热河谷：dry-hot valley
创新系统：innovation system
内在价值：intrinsic value
集成控制：integrated control
菲律宾蛤仔：Ruditapes philippinarum
公路工程：highway project
联合毒性：joint toxicity
化学法：chemical method
天然沸石：natural zeolite
膜清洗：membrane cleaning
污染治理：pollution treatment
黄色素：yellow pigment
FLUENT软件：FLUENT software
光合色素：photosynthetic pigment
硫酸铜：Copper sulfate
风场：wind field
主要问题：Main problems
磁性材料：magnetic materials
管理体制：administration system
高羊茅：Festuca arundinacea
全球治理：global governance
遥感技术：remote sensing technique
动力学参数：kinetic parameter
苗族：Miao nationality
淮河流域：Huaihe River Basin
乳酸发酵：lactic acid fermentation
酒石酸：tartaric acid
改性膨润土：modified bentonite
矢量数据：vector data
管道输送：pipeline transportation
停留时间分布：residence time distribution
管网：pipe network
造纸废水：papermaking wastewater
醋酸乙烯：vinyl acetate
光纤传感：optical fiber sensing
理论框架：theoretical framework
技术发展：technology development
表面吸附：Surface adsorption
混合模型：hybrid model
钻井工程：drilling engineering
相对分子质量：relative molecular mass
管理措施：Management measures
催化机理：catalytic mechanism
安全措施：safety measure
预警系统：warning system
石化企业：Petrochemical Enterprise
TOPSIS法：TOPSIS method
TM影像：TM image
Mie散射：Mie scattering
种子发芽：Seed germination
石灰性土壤：calcareous soil
数据组织：data organization
浊点萃取：cloud point extraction
离子交换膜：ion exchange membrane
铜粉：copper powder
污泥膨胀：sludge bulking
化学工程：chemical engineering
实证分析：demonstration analysis
鸡粪：chicken manure
