有限元：finite element
相位调制：phase modulation
效能评估：efficiency evaluation
力量训练：strength training
参数提取：parameter extraction
载波相位：carrier phase
干密度：dry density
特征分析：characteristic analysis
知识表达：knowledge representation
可靠性增长：reliability growth
差示扫描量热法：differential scanning calorimetry
转子动力学：rotor dynamics
区间分析：interval analysis
数据链：data link
膜反应器：membrane reactor
小波去噪：wavelet denoising
蒙特卡洛法：Monte Carlo method
不确定性分析：uncertainty analysis
结构强度：structural strength
激光推进：Laser propulsion
月球车：Lunar rover
S-N曲线：S-N curve
振动特性：Vibration characteristics
安全评估：safety assessment
流动控制：flow control
力学分析：mechanics analysis
抗氧化性能：Oxidation resistance
打靶法：shooting method
TiAl合金：TiAl alloy
离心力：Centrifugal force
抗差估计：robust estimation
传递对准：Transfer alignment
延迟时间：Delay time
AutoCAD：Auto CAD
权系数：weight coefficient
涡流检测：Eddy current testing
屈服应力：yield stress
预测函数控制：Predictive functional control
电子束焊接：electron beam welding
电子温度：Electron temperature
耦合模型：coupling model
应变能：strain energy
风洞实验：wind tunnel test
CCD相机：CCD camera
姿态确定：attitude determination
多普勒频率：Doppler frequency
混合控制：hybrid control
一体化设计：integrated design
耦合分析：coupling analysis
飞行试验：flight test
振动响应：vibration response
非结构网格：unstructured grid
起落架：landing gear
表面温度：surface temperature
稀疏矩阵：Sparse Matrix
小波网络：wavelet network
相机标定：camera calibration
模型参考自适应控制：model reference adaptive control
疲劳极限：fatigue limit
能量密度：energy density
截断误差：truncation error
冷却速率：cooling rate
结构力学：structural mechanics
直接数值模拟：direct numerical simulation
磁流变液：magnetorheological fluid
琼斯矩阵：Jones matrix
电子枪：electron gun
气动性能：aerodynamic performance
职业生涯管理：career management
对策论：Game theory
电子战：electronic warfare
牛顿法：Newton method
低频振荡：low-frequency oscillation
弧齿锥齿轮：spiral bevel gear
霍尔效应：Hall effect
角动量：angular momentum
自动控制技术：auto-control technology
条件概率：conditional probability
实时仿真：real time simulation
减振：vibration reduction
横向振动：transverse vibration
振动试验：vibration test
压电材料：piezoelectric materials
角速度：Angular velocity
解析模型：analytical model
压力脉动：pressure fluctuation
相对运动：relative motion
单目视觉：monocular vision
粒子模拟：particle simulation
剩余寿命：residual life
模型简化：model simplification
燃速：Burning rate
损伤演化：damage evolution
动力学建模：dynamic modeling
线性回归模型：linear regression model
景象匹配：Scene matching
硬件平台：Hardware platform
动态力学性能：dynamic mechanical properties
加速寿命试验：accelerated life test
编队飞行：formation flying
随机控制：stochastic control
电化学合成：electrochemical synthesis
阶跃响应：step response
电容传感器：capacitance sensor
截面：cross section
瞬态分析：transient analysis
VOF方法：VOF method
小样本：small sample
概率论：probability theory
鲁棒自适应控制：robust adaptive control
灰色关联分析：grey relation analysis
激光辐照：laser irradiation
热交换器：Heat exchanger
蚁群优化：ant colony optimization
中值定理：mean value theorem
多体系统：Multi-body System
Bayes估计：Bayes estimation
随机系统：stochastic system
涡扇发动机：turbofan engine
流动分布：Flow distribution
双基地雷达：bistatic radar
纤维缠绕：filament winding
脉冲爆震发动机：pulse detonation engine
影像匹配：image matching
USB总线：USB bus
特征结构配置：eigenstructure assignment
小卫星：Small Satellite
激波管：shock tube
阻尼系数：damping coefficient
飞行模拟器：flight simulator
智能结构：intelligent structure
压力测量：Pressure measurement
制导律：guidance law
技术发展：technology development
电子辐照：electron irradiation
故障率：failure rate
构件技术：Component technology
复介电常数：complex permittivity
贝叶斯方法：Bayesian method
时空数据模型：spatio-temporal data model
传感器管理：sensor management
热障涂层：thermal barrier coating
损耗因子：loss factor
正交变换：orthogonal transformation
搜索算法：search algorithm
电子对抗：electronic countermeasure
频率稳定度：frequency stability
自动化系统：automatic system
J积分：J integral
光纤通道：fibre channel
频偏估计：frequency offset estimation
误差分离：Error separation
环境试验：environmental test
受迫振动：Forced Vibration
天线阵列：antenna array
温度特性：temperature characteristic
附加质量：Added mass
谱方法：spectral method
玻璃化转变：glass transition
紊流模型：turbulence model
声场：sound field
温度控制系统：temperature control system
战术导弹：tactical missile
网络体系结构：Network architecture
空间机器人：space robot
视觉伺服：visual servoing
动态数据交换：dynamic data exchange
人工神经元网络：artificial neural network
功率谱密度：power spectrum density
N-S方程：N-S equations
动态逆：dynamic inversion
末制导：terminal guidance
样条插值：spline interpolation
三角网格：triangular mesh
1553B总线：1553B bus
安全性分析：security analysis
工艺规划：process planning
Melnikov函数：melnikov function
模型降阶：model reduction
伺服阀：servo valve
动能：kinetic energy
相关检测：Correlation detection
视觉导航：Vision navigation
Lyapunov稳定性：Lyapunov stability
玻璃化温度：glass transition temperature
三次样条：cubic spline
控制逻辑：control logic
疲劳裂纹扩展：fatigue crack propagation
滑模变结构控制：sliding mode control
推进系统：propulsion system
脱靶量：Miss distance
高超声速飞行器：hypersonic vehicle
爆轰波：detonation wave
欧拉方程：Euler equation
支撑向量机：support vector machine
静强度：Static strength
角分布：Angular distribution
自动增益控制：automatic gain control
最大干密度：Maximum dry density
脉冲激光：pulse laser
物理仿真：physical simulation
统计能量分析：Statistical energy analysis
大气边界层：atmospheric boundary layer
Euler方程：Euler equation
故障隔离：fault isolation
民航：Civil Aviation
材料科学：materials science
原子氧：atomic oxygen
定向耦合器：directional coupler
算法优化：Algorithm optimization
任务分配：task assignment
燃油系统：fuel system
VerilogHDL：Verilog HDL
角度测量：angle measurement
逆系统方法：inverse system method
仿真试验：Simulation Test
A*算法：A* algorithm
环境信息：environmental information
过程集成：process integration
动态断裂：dynamic fracture
决策系统：decision-making system
重心：center of gravity
定性仿真：qualitative simulation
空间站：space station
公路运输：highway transportation
低雷诺数：low Reynolds number
不确定度分析：uncertainty analysis
损伤容限：damage tolerance
智能材料：intelligent material
数据预处理：data pretreatment
数字PID：digital PID
模型参考：model reference
降维：dimension reduction
等待时间：waiting time
模锻：die forging
能量沉积：Energy deposition
激光武器：laser weapon
激光通信：laser communication
飞机设计：aircraft design
优化算法：optimal algorithm
自动跟踪：automatic tracking
燃烧催化剂：combustion catalyst
虚拟试验：Virtual test
WDM驱动程序：WDM driver
控制原理：control principle
相干结构：coherent structure
似然比：Likelihood ratio
微波测量：microwave measurement
厚度测量：thickness measurement
径向分布函数：Radial distribution function
等效模型：equivalent model
保角变换：conformal transformation
寿命周期费用：Life Cycle Cost
实时传输：real-time transmission
任务规划：mission planning
超声检测：ultrasonic inspection
背景噪声：background noise
柔性结构：flexible structure
运动方程：motion equation
分离流：separated flow
拟牛顿法：Quasi-Newton method
强跟踪滤波器：strong tracking filter
多目标优化：multi-object optimization
数值研究：numerical study
微动疲劳：fretting fatigue
极坐标：Polar coordinates
极限载荷：limit load
桁架结构：truss structure
旋转失速：rotating stall
气象卫星：meteorological satellite
程序设计语言：programming language
材料力学：material mechanics
自校正控制：self-tuning control
位错密度：Dislocation density
超声速燃烧：supersonic combustion
马赫数：Mach number
动态误差：dynamic error
温度漂移：temperature drift
范例推理：case-based reasoning
深空探测：deep space exploration
油液分析：oil analysis
载荷识别：load identification
影响系数：influence coefficient
变形预测：deformation prediction
谐振腔：resonant cavity
大系统：large-scale system
离心压气机：Centrifugal compressor
临界速度：critical velocity
混合灵敏度：mixed sensitivity
黄金分割：golden section
效能分析：effectiveness analysis
控制律：control law
柔性体：flexible body
氰酸酯：cyanate ester
离心叶轮：centrifugal impeller
疲劳可靠性：fatigue reliability
弱信号检测：weak signal detection
随机游走：random walk
故障仿真：Fault Simulation
气动力：aerodynamic force
故障预报：Fault Prediction
无人直升机：unmanned helicopter
隧道效应：tunneling effect
材料科学基础学科：foundational discipline in materials science
变形温度：deformation temperature
热沉：heat sink
波形分析：waveform analysis
非线性控制系统：nonlinear control system
有色噪声：colored noise
基于实例推理：case-based reasoning
碳酸酐酶：Carbonic anhydrase
克隆选择算法：clonal selection algorithm
两点边值问题：two-point boundary value problem
蠕变损伤：creep damage
点目标：point target
喷丸：shot peening
拉格朗日方程：Lagrange equation
恒功率：constant power
随机有限元：stochastic finite element method
力控制：force control
周期轨道：Periodic orbit
激光跟踪仪：laser tracker
截止频率：Cut-off frequency
阻抗控制：impedance control
维修保障：maintenance support
Allan方差：Allan variance
高分子化学：polymer chemistry
涡轮盘：turbine disk
空气分离：air separation
临界压力：critical pressure
超音速燃烧：Supersonic combustion
即插即用：plug and play
时序：time sequence
主动振动控制：active vibration control
装配仿真：assembly simulation
消息机制：message mechanism
滑模观测器：Sliding mode observer
航迹起始：track initiation
热管理：thermal management
排气系统：exhaust system
试验台：Test bed
智能PID：intelligent PID
空中交通管理：air traffic management
干扰观测器：disturbance observer
涡流管：vortex tube
噪声测量：noise measurement
数字解调：digital demodulation
气动设计：aerodynamic design
发展分析：development analysis
大迎角：high angle of attack
车辆导航：vehicle navigation
热流密度：heat flux
复合粒子：composite particle
低温性能：low temperature performance
声阻抗：acoustic impedance
体积电阻率：volume resistivity
高速摄影：high-speed photography
压电驱动器：piezoelectric actuator
卫星影像：Satellite image
复合推进剂：Composite propellant
频率调制：frequency modulation
最优化方法：optimization method
应力集中系数：Stress concentration factor
迷宫密封：labyrinth seal
压力传感器：pressure transducer
奇异点：singular point
电涡流：eddy current
飞控系统：flight control system
涡轮叶栅：turbine cascade
PC/104总线：PC/104 Bus
航迹融合：track fusion
互连网络：interconnection network
耦合系统：coupling system
壁温：wall temperature
密度分布：density distribution
基频：fundamental frequency
Monte-Carlo法：Monte-Carlo method
小生境遗传算法：niche genetic algorithm
磁轴承：magnetic bearing
协同优化：collaborative optimization
耦合动力学：coupling dynamics
输出跟踪：output tracking
航位推算：dead reckoning
时域有限差分法：finite-difference time-Domain
实验装置：experimental device
火焰喷涂：flame spraying
信息扩散：Information diffusion
齿轮箱：Gear box
液压控制系统：hydraulic control system
随机最优控制：stochastic optimal control
微机械陀螺：micromachined gyroscope
精益思想：lean thinking
时间自动机：timed automata
惯性平台：Inertial Platform
电子设计自动化：electronic design automation
火力控制：fire control
涡轮喷气发动机：turbojet engine
二氧化氮：nitrogen dioxide
电性能：electric properties
集成创新：integrated innovation
静磁场：static magnetic field
损伤机理：Damage Mechanism
应力计算：Stress calculation
耐久性设计：durability design
冲击射流：impinging jet
鲁棒控制器：robust controller
随机响应：random response
梁单元：beam element
空间相机：Space camera
稳定平台：stabilized platform
腐蚀控制：corrosion control
误差建模：error modeling
行为控制：Behavior control
交会对接：rendezvous and docking
云理论：cloud theory
人工势场：artificial potential field
信号子空间：signal subspace
模糊PID控制器：Fuzzy PID controller
分布式检测：distributed detection
切削参数：cutting parameters
等温锻造：isothermal forging
光学玻璃：optical glass
环境控制：environment control
反应烧结：reaction sintering
接触模型：contact model
希尔伯特-黄变换：Hilbert-Huang transform
活塞杆：piston rod
海上平台：offshore platform
特征频率：characteristic frequency
迭代算法：iteration algorithm
趋近律：reaching law
密封材料：sealing material
变分原理：variation principle
CO2浓度：CO2 concentration
电液伺服阀：electro-hydraulic servo valve
地球自转：earth rotation
指挥控制：command and control
光学传递函数：Optical transfer function
大容量：large capacity
ADAMS软件：ADAMS software
显示系统：display system
成像质量：imaging quality
系统效能：system effectiveness
动态重构：dynamic reconfiguration
临近空间：near space
机理模型：mechanism model
CCD传感器：CCD sensor
姿态测量：attitude measurement
柔性机械臂：flexible manipulator
被动定位：Passive Location
极大值原理：Maximum Principle
调制不稳定性：Modulation instability
工程分析：engineering analysis
变权：variable weight
脉冲信号：pulse signal
后向散射系数：backscattering coefficient
结构振动：structure vibration
切换控制：Switching control
稳定裕度：stability margin
正交解调：quadrature demodulation
存储区域网：storage area network
并行测试：parallel test
清华大学：Tsinghua University
二次稳定：quadratic stability
紫外光：UV light
残差：residual error
隐身技术：stealth technique
过渡区：transition region
弯曲振动：flexural vibration
液体推进剂：liquid propellant
减灾：disaster reduction
傅立叶分析：Fourier analysis
三维数值模拟：3-D numerical simulation
吸湿：Moisture absorption
匹配滤波：matched filtering
自适应观测器：adaptive observer
磁传感器：magnetic sensor
空战：air combat
PD控制：PD control
三角翼：delta wing
子空间方法：Subspace method
气动加热：aerodynamic heating
指挥控制系统：Command and control system
涡轮风扇发动机：Turbofan engine
复合控制：composite control
电弧放电：arc discharge
断裂准则：fracture criterion
模型结构：model structure
电源系统：power system
卫星星座：satellite constellation
辐射定标：radiometric calibration
哈希表：Hash table
半物理仿真：semi-physical simulation
毁伤概率：damage probability
GPIB总线：GPIB bus
总线接口：bus interface
气动噪声：aerodynamic noise
散热：heat dissipation
响应面方法：response surface methodology
逆模型：inverse model
峰值：peak value
公理化设计：Axiomatic design
超高速撞击：Hypervelocity impact
结构响应：structural response
液体晃动：Liquid sloshing
电流环：current loop
探测概率：Detection probability
杂散光：Stray light
导电性能：electrical conductivity
多孔结构：porous structure
环境污染物：Environmental Pollutants
最优设计：optimal design
功率谱分析：power spectrum analysis
流量分配：flow distribution
载波：Carrier wave
径向速度：radial velocity
智能管理：intelligent management
跟驰模型：car-following model
电子侦察：electronic reconnaissance
编队控制：formation control
CMAC神经网络：CMAC neural network
数据平台：Data platform
TC4合金：TC4 alloy
升力系数：lift coefficient
水滑石：layered double hydroxides
燃气发生器：Gas generator
混合规则：mixing rule
激光跟踪：laser tracking
激光打孔：laser drilling
闭环：closed loop
雷诺应力：Reynolds stress
在线辨识：online identification
空间滤波：spatial filtering
比冲：specific impulse
漫反射：diffuse reflection
相干函数：coherence function
多变量控制：multivariable control
静力试验：static test
随机稳定性：Stochastic stability
参数摄动：Parameter perturbation
分层抽样：stratified sampling
辐射方向图：radiation pattern
扰动分析：perturbation analysis
裂纹转子：cracked rotor
抗热震性能：thermal shock resistance
激光点火：laser ignition
温度模型：temperature model
效率优化：efficiency optimization
喷射泵：jet pump
导波：guided wave
Lamb波：Lamb wave
控制系统设计：control system design
耦合度：coupling degree
边际分析：marginal analysis
区分矩阵：discernibility matrix
人工免疫网络：artificial immune network
飞行动力学：flight dynamics
飞行器控制、导航技术：control and navigation technology of aerocraft
布局设计：layout design
磁力轴承：magnetic bearing
推力矢量控制：Thrust Vector Control
脉冲多普勒雷达：pulse Doppler radar
战术互联网：tactical internet
总线控制器：bus controller
寄生电容：parasitic capacitance
正规矩阵：normal matrix
BLP模型：BLP model
性能评价：Property evaluation
磁场强度：magnetic field strength
NEPE推进剂：NEPE propellant
动边界：moving boundary
幂函数：power function
寿命周期：life cycle
随机激励：random excitation
时间间隔：time interval
USB2.0：USB 2.0
再入飞行器：reentry vehicle
原子钟：atomic clock
性能模型：performance model
双马来酰亚胺树脂：bismaleimide resin
约束满足：Constraint satisfaction
应用与发展：application and development
动态标定：Dynamic calibration
电气工程：electric engineering
VME总线：VME Bus
性能计算：Performance calculation
监测模型：monitoring model
Floyd算法：Floyd Algorithm
军用飞机：military aircraft
比例导引：Proportional navigation
改善因子：improvement factor
模式耦合：mode coupling
固有频率：nature frequency
失效模式：failure modes
加速老化：Accelerated aging
冲击损伤：impact damage
标准件：standard parts
加工特征：machining feature
流动分离：flow separation
积分变换：integral transformation
穿透深度：penetration depth
酶固定化：enzyme immobilization
流阻：flow resistance
能量响应：Energy Response
扩展卡尔曼滤波器：extended kalman filter
附面层：boundary layer
旋转矢量：rotation vector
污染物排放：pollutant emission
Monte Carlo法：Monte Carlo method
Al-Zn-Mg-Cu合金：Al-Zn-Mg-Cu alloy
高周疲劳：high cycle fatigue
效率分析：efficiency analysis
结构优化设计：structural optimization design
抗弯刚度：bending rigidity
对流传热：convective heat transfer
人为因素：human factors
面向对象编程：object oriented programming
轨迹优化：trajectory optimization
挤压油膜阻尼器：squeeze film damper
知识库系统：knowledge base system
静态标定：static calibration
卫星导航系统：satellite navigation system
遥感卫星：Remote Sensing Satellite
未建模动态：unmodeled dynamics
导引律：guidance law
传声器阵列：microphone array
故障字典：fault dictionary
燃烧性能：combustion property
神经元网络：neural networks
慢光：slow light
传动轴：transmission shaft
参数设计：parameters design
高韧性：high toughness
MODIS数据：MODIS data
实验验证：experimental verification
动态应变时效：Dynamic Strain Aging
热点：hot spot
冲击载荷：impact loading
解耦控制：decoupled control
鲁棒设计：robust design
差分GPS：differential GPS
鲁棒性能：robust performance
精确制导：precision guidance
高超声速进气道：hypersonic inlet
机场工程：airport engineering
挠性航天器：Flexible spacecraft
混响室：reverberation chamber
自主控制：Autonomous control
控制分配：control allocation
最小二乘拟合：least square fitting
热模型：thermal model
设计软件：design software
Matlab程序：matlab program
机械阻抗：mechanical impedance
马尔科夫模型：Markov model
自动补偿：automatic compensation
空气阻力：air resistance
自抗扰控制：active disturbance rejection control
喷雾特性：spray characteristics
ADAMS仿真：ADAMS simulation
航班延误：flight delay
被动跟踪：passive tracking
模型匹配：model matching
武装直升机：armed helicopter
并行I/O：parallel I/O
喷管气流：Nozzle flow
危险品：dangerous goods
变截面：variable cross-section
点腐蚀：pitting corrosion
节流阀：throttle valve
接头强度：Joint strength
晶体塑性：crystal plasticity
油酸钠：Sodium oleate
幅频特性：amplitude-frequency characteristic
电子输运：electron transport
ANSYS分析：ANSYS analysis
轻轨：light rail
粒子图像测速：Particle image velocimetry
数值优化：Numerical optimization
交通规划：transport planning
溶度参数：solubility parameter
可靠性管理：reliability management
轨道确定：Orbit determination
D-S理论：D-S theory
扰动观测器：Disturbance observer
气动布局：aerodynamic configuration
惯导系统：inertial navigation system
战术数据链：tactical data link
导航计算机：navigation computer
Taylor级数：Taylor series
动态失速：dynamic stall
推进剂药柱：Propellant grain
测量仪：measuring instrument
密封性能：sealing performance
光纤陀螺：fiber-optic gyroscope
纤维取向：fiber orientation
超高速碰撞：hypervelocity impact
Zernike多项式：Zernike polynomial
流体网络：Fluid network
配点法：collocation method
黑匣子：black box
固体推进剂火箭发动机：solid propellant rocket motor
载人航天器：manned spacecraft
参数化模型：parametric model
软硬件设计：Software and hardware design
认知神经科学：cognitive neuroscience
Fourier分析：Fourier analysis
航迹关联：track association
可靠性灵敏度：Reliability sensitivity
微分对策：Differential Games
测试序列：test sequence
空间目标：space object
热力耦合：thermal-mechanical coupling
声发射检测：Acoustic emission testing
表面电阻率：surface resistivity
激光快速成形：laser rapid forming
晶体取向：crystal orientation
视觉系统：Visual system
测速：speed measurement
火焰传播：flame propagation
分解速率：decomposition rate
序列二次规划：sequential quadratic programming
自适应信号处理：adaptive signal processing
训练系统：training system
虚拟战场：virtual battlefield
航路规划：route planning
风切变：wind shear
加权函数：weighting function
姿态机动：attitude maneuver
气动优化：aerodynamic optimization
电子系统：Electronic system
地杂波：ground clutter
采样率：Sampling rate
并行仿真：parallel simulation
随机接入：random access
飞行安全：flight safety
燃油：fuel oil
夹层结构：sandwich structure
Monte Carlo仿真：Monte Carlo simulation
热流：Heat flow
振动时效：vibratory stress relief
空间光学：space optics
超声波测距：ultrasonic ranging
模型不确定性：model uncertainty
维修策略：maintenance strategy
计算机图形：computer graphics
心理测验：psychological test
光学模型：Optical model
热控：thermal control
飞行力学：flight dynamics
天文导航：celestial navigation
模块化建模：modular modeling
地面试验：ground test
影像分割：image segmentation
数据标准：data standard
谐波传动：harmonic drive
压气机叶栅：compressor cascade
数值法：Numerical method
过程能力：Process capability
工艺管理：process management
软件实现：software realization
模糊故障树：fuzzy fault tree
离散事件动态系统：discrete event dynamic system
预见控制：Preview control
接触刚度：contact stiffness
迎风格式：upwind scheme
气动干扰：aerodynamic interference
推力矢量：thrust vector
深空通信：Deep space communication
天体力学：Celestial mechanics
执行器饱和：actuator saturation
译码算法：decoding algorithm
控温：temperature control
键合剂：bonding agent
扩散焊：diffusion bonding
寿命分布：life distribution
临界浓度：Critical concentration
液氧：liquid oxygen
GCr15轴承钢：GCr15 Bearing Steel
热防护：thermal protection
动力学特性：dynamic characteristic
角位移：angular displacement
三角形网格：triangular mesh
小波消噪：wavelet denoising
测控：Measure and Control
模态综合：modal synthesis
人工势场法：artificial potential field
双层规划模型：bi-level programming model
闭环辨识：Closed-loop identification
空时自适应处理：space-time adaptive processing
级联码：concatenated code
逆控制：inverse control
空间机械臂：space manipulator
动力刚化：dynamic stiffening
卫星高度计：satellite altimeter
动态法：dynamic method
否定选择算法：negative selection algorithm
合成射流：synthetic jet
冲压喷气发动机：Ramjet engine
磁记忆检测：magnetic memory testing
ELID磨削：ELID grinding
力矩电机：torque motor
安全科学：safety science
偏相关分析：partial correlation analysis
Sagnac效应：Sagnac effect
超临界压力：supercritical pressure
嵌入式PC：Embedded PC
变参数：variable parameter
液氦：Liquid helium
辐射强度：radiation intensity
DSMC方法：DSMC method
参数化造型：parametric modeling
仿真环境：simulation environment
雷达网：radar net
姿态控制系统：attitude control system
Riemann问题：Riemann problem
紧致格式：compact scheme
气动稳定性：aerodynamic stability
卫星轨道：satellite orbit
并行通讯：parallel communication
嵌入式GUI：embedded GUI
零动态：zero dynamics
动稳定性：dynamic stability
电磁干扰：electromagnetic disturbance
Pro/E软件：Pro/E software
响应曲面：response surface methodology
流量控制：flux control
密封结构：sealing structure
动力吸振器：dynamic vibration absorber
动态数学模型：dynamic mathematical model
环境适应性：environmental worthiness
滚动接触疲劳：rolling contact fatigue
隔振器：vibration isolator
民用飞机：civil aircraft
弧长法：Arc-length method
特征线：Characteristic line
干扰源：interference source
应变计：strain gauge
超声速流：supersonic flow
水平分布：horizontal distribution
零空间：null space
可能性理论：possibility theory
LQG控制：LQG control
高超声速流：hypersonic flow
网络时间协议：network time protocol
状态转换：state transition
卫星编队飞行：Satellite formation flying
随机漂移：random drift
性能退化：Performance degradation
冲突解决：Conflict resolution
跨声速流：transonic flow
背景辐射：background radiation
老化机理：aging mechanism
氙灯：xenon lamp
稳态误差：Steady-state error
机械损伤：mechanical damage
表面预处理：surface pretreatment
稳态模型：steady-state model
拉格朗日松弛：Lagrangian relaxation
磁流变抛光：magnetorheological finishing
智能决策：intelligent decision-making
传热分析：heat transfer analysis
空间辐射：space radiation
行波管：Traveling wave tube
内流场：internal flow field
工序能力指数：process capability index
小波滤波：wavelet filter
半导体器件：Semiconductor devices
输沙量：sediment discharge
空间应用：space application
交叉熵：cross entropy
自主定轨：autonomous orbit determination
C4ISR系统：C4ISR system
薄膜冷却：Film cooling
热力性能：thermodynamic performance
